Generation,Hidden Neurons,Activation,Accuracy
1,186,relu,0.8772000074386597
2,87,tanh,0.8747000098228455
3,169,relu,0.8741999864578247
4,109,relu,0.871999979019165
5,116,relu,0.8719000220298767
6,54,tanh,0.8705999851226807
7,72,relu,0.8690000176429749
8,194,tanh,0.8676999807357788
9,122,tanh,0.8673999905586243
10,103,relu,0.8650000095367432
11,149,tanh,0.8762999773025513
12,87,tanh,0.8758000135421753
13,169,relu,0.8726999759674072
14,116,relu,0.8726000189781189
15,186,relu,0.8694000244140625
16,116,relu,0.8686000108718872
17,109,relu,0.8686000108718872
18,109,relu,0.8676000237464905
19,87,relu,0.8644999861717224
20,169,relu,0.8604000210762024
21,169,relu,0.878000020980835
22,169,relu,0.8763999938964844
23,149,tanh,0.8758999705314636
24,186,relu,0.8755999803543091
25,149,tanh,0.8751999735832214
26,149,tanh,0.8725000023841858
27,149,tanh,0.8702999949455261
28,87,tanh,0.8686000108718872
29,149,tanh,0.8662999868392944
30,116,relu,0.8654000163078308
31,169,relu,0.8791999816894531
32,149,tanh,0.8751999735832214
33,186,relu,0.8730000257492065
34,169,relu,0.8729000091552734
35,149,tanh,0.8726000189781189
36,169,relu,0.8715999722480774
37,149,tanh,0.8707000017166138
38,169,relu,0.8679999709129333
39,149,tanh,0.8658000230789185
40,169,relu,0.8586000204086304
41,169,relu,0.8799999952316284
42,149,tanh,0.8766999840736389
43,149,tanh,0.8754000067710876
44,169,relu,0.8744000196456909
45,169,relu,0.8733000159263611
46,149,tanh,0.8715999722480774
47,149,tanh,0.8715000152587891
48,186,relu,0.8711000084877014
49,169,relu,0.8702999949455261
50,149,relu,0.8676000237464905
